ZVG-Nr.	CAS-Nr.	verwandte CAS-Nr.	Name
2020	1304-76-3	 	Bismut(III)-oxid
2030	1313-27-5	 	Molybdän(VI)-oxid
2060	3811-04-9	 	Kaliumchlorat
2070	584-08-7	 6381-79-9	Kaliumcarbonat
2080	298-14-6	 	Kaliumhydrogencarbonat
2090	1314-13-2	 	Zinkoxid
2100	1327-53-3	 	Arsen(III)-oxid
2110	7783-28-0	 	Diammoniumhydrogenphosphat
2130	1308-38-9	 	Chrom(III)-oxid
2140	7758-97-6	 	Blei(II)-chromat
2150	1306-23-6	 	Cadmiumsulfid
2160	13530-65-9	 	Zinkchromat
2170	1315-04-4	 	Antimon(V)-sulfid
2190	1317-37-9	 	Eisen(II)-sulfid
2200	7447-40-7	 	Kaliumchlorid
2220	13825-74-6	 	Titanylsulfat
2240	13464-80-7	 	Dihydraziniumsulfat
2250	1302-42-7	 	Aluminiumnatriumdioxid
2260	10034-93-2	 	Hydraziniumsulfat
2270	7550-45-0	 	Titan(IV)-chlorid
2280	463-58-1	 	Carbonylsulfid
2290	7681-38-1	 10034-88-5	Natriumhydrogensulfat
2300	1333-82-0	 	Chrom(VI)-oxid
2310	7727-54-0	 	Ammoniumperoxodisulfat
2320	10043-01-3	 17927-65-0  16828-11-8  7784-31-8	Aluminiumsulfat
2330	7487-88-9	 14168-73-1  15320-30-6  15244-29-8  17830-17-0  17830-18-1  10034-99-8  22189-08-8	Magnesiumsulfat
2350	6834-92-0	 10213-79-3  13517-24-3  1344-09-8	Natriummetasilikat
2360	1345-13-7	 	Cer(III)-oxid
2370	2696-92-6	 	Nitrosylchlorid
2380	3087-37-4	 	Titantetrapropanolat
2390	5593-70-4	 	Titantetrabutanolat
2400	10049-06-6	 	Titan(II)-chlorid
2420	143-33-9	 	Natriumcyanid
2430	7722-84-1	 	Wasserstoffperoxid ab 60 %
2440	144-55-8	 	Natriumhydrogencarbonat
2460	7790-94-5	 	Chlorschwefelsäure
2470	7447-39-4	 10125-13-0	Kupfer(II)-chlorid
2480	7772-98-7	 10102-17-7	Natriumthiosulfat
2490	10588-01-9	 7789-12-0	Natriumdichromat
2500	1306-24-7	 	Cadmiumselenid
2510	10101-53-8	 15244-38-9	Chrom(III)-sulfat
2530	7719-12-2	 	Phosphortrichlorid
2550	12135-76-1	 	Ammoniumsulfid, wässrige Lösung
2560	141-53-7	 	Natriumformiat
2570	7647-10-1	 	Palladium(II)-chlorid
2590	7646-79-9	 7791-13-1	Cobalt(II)-chlorid
2600	13454-96-1	 	Platin(IV)-chlorid
2610	546-93-0	 5145-48-2  14457-83-1  61042-72-6	Magnesiumcarbonat
2630	1318-02-1	 	Zeolith
2640	7782-78-7	 	Nitrosylschwefelsäure
2650	75-79-6	 	Methyltrichlorsilan
2670	75-77-4	 	Trimethylchlorsilan
2680	76-86-8	 	Chlortriphenylsilan
2690	2031-67-6	 	Methyltriethoxysilan
2700	78-62-6	 	Dimethyldiethoxysilan
2720	10026-04-7	 	Siliciumtetrachlorid
2730	80-10-4	 	Dichlordiphenylsilan
2740	947-42-2	 	Diphenylsilandiol
2750	556-67-2	 	Octamethylcyclotetrasiloxan
2770	75-78-5	 	Dimethyldichlorsilan
2780	98-13-5	 	Phenyltrichlorsilan
2820	7785-87-7	 10034-96-5  10101-68-5	Mangan(II)-sulfat
2850	16532-02-8	 	Dimethyl(brommethyl)chlorsilan
2900	7647-15-6	 	Natriumbromid
2910	78-10-4	 	Tetraethylorthosilikat
2920	999-97-3	 	1,1,1,3,3,3-Hexamethyldisilazan
2940	10025-87-3	 	Phosphoryltrichlorid
3000	10026-13-8	 	Phosphorpentachlorid
3010	7446-70-0	 7784-13-6	Aluminiumchlorid
3020	10039-54-0	 	Bis(hydroxylammonium)sulfat
3030	142-71-2	 6046-93-1	Kupfer(II)-acetat
3040	10025-73-7	 10060-12-5	Chrom(III)-chlorid
3050	7803-57-8	 	Hydrazinmonohydrat
3060	2644-70-4	 	Hydraziniumchlorid
3070	5341-61-7	 	Hydraziniumdichlorid
3080	13775-80-9	 	Hydraziniumbromid
3110	75-76-3	 	Tetramethylsilan
3120	1066-35-9	 	Dimethylchlorsilan
3150	75-54-7	 	Methyldichlorsilan
3160	16731-55-8	 	Kaliumdisulfit
3170	1317-61-9	 1309-38-2	Eisen(II,III)-oxid
3180	5329-14-6	 	Sulfamidsäure
3190	541-05-9	 	Hexamethylcyclotrisiloxan
3200	541-02-6	 	Decamethylcyclopentasiloxan
3210	107-46-0	 	Hexamethyldisiloxan
3220	1309-60-0	 	Blei(IV)-oxid
3230	1317-36-8	 	Blei(II)-oxid
3240	1313-13-9	 	Mangan(IV)-oxid
3250	7446-14-2	 	Blei(II)-sulfat
3260	814-91-5	 	Kupfer(II)-oxalat
3270	7487-94-7	 	Quecksilber(II)-chlorid
3280	7758-89-6	 	Kupfer(I)-chlorid
3290	7699-43-6	 15461-27-5  13520-92-8	Zirconylchlorid
3300	7718-54-9	 7791-20-0	Nickel(II)-chlorid
3310	10108-64-2	 35658-65-2  7790-78-5  654054-66-7	Cadmiumchlorid
3320	1317-40-4	 	Kupfer(II)-sulfid
3330	1314-98-3	 	Zinksulfid
3340	10124-36-4	 7790-84-3	Cadmiumsulfat
3350	513-78-0	 	Cadmiumcarbonat
3380	13598-36-2	 10294-56-1	Phosphonsäure
3390	1762-95-4	 	Ammoniumthiocyanat
3400	540-72-7	 	Natriumthiocyanat
3410	156-62-7	 	Calciumcyanamid
3440	1309-64-4	 	Antimon(III)-oxid
3450	7786-30-3	 7791-18-6	Magnesiumchlorid
3470	1344-08-7	 	Natriumpolysulfide
3480	7775-14-6	 	Natriumdithionit
3490	917-61-3	 	Natriumcyanat
3500	20427-59-2	 	Kupfer(II)-hydroxid
3510	13464-38-5	 	Trinatriumarsenat
3530	7803-51-2	 	Phosphin
3540	10192-30-0	 	Ammoniumhydrogensulfit, wässrige Lösung
3550	7772-99-8	 10025-69-1	Zinn(II)-chlorid
3560	7783-61-1	 	Siliciumtetrafluorid
3570	1344-00-9	 	Aluminiumnatriumsilikat
3580	1319-46-6	 	Bleiweiß
3590	7646-78-8	 	Zinn(IV)-chlorid
3600	1307-96-6	 	Cobalt(II)-oxid
3620	7789-75-5	 	Calciumfluorid
3630	7757-79-1	 	Kaliumnitrat
3640	10043-35-3	 11113-50-1	Borsäure
3650	7783-18-8	 	Ammoniumthiosulfat
3660	7758-02-3	 	Kaliumbromid
3670	10117-38-1	 	Kaliumsulfit
3690	10141-00-1	 7788-99-0	Chrom(III)-kaliumsulfat
3700	10361-03-2	 	Natriummetaphosphat
3710	7447-41-8	 16712-20-2  85665-94-7  95674-01-4  151862-39-4  85144-11-2	Lithiumchlorid
3720	7761-88-8	 	Silbernitrat
3730	7785-23-1	 	Silberbromid
3740	7783-90-6	 	Silberchlorid
3750	6484-52-2	 	Ammoniumnitrat
3760	7757-93-9	 7789-77-7	Calciumhydrogenphosphat
3780	13106-76-8	 12054-85-2	Ammoniummolybdat
3790	16961-83-4	 	Hexafluorokieselsäure
3800	21645-51-2	 	Aluminiumhydroxid
3810	7784-18-1	 15098-87-0	Aluminiumfluorid
3830	16949-65-8	 18972-56-0	Magnesiumhexafluorosilikat
3840	7788-97-8	 16671-27-5  123333-98-2	Chrom(III)-fluorid
3850	1341-49-7	 	Ammoniumhydrogendifluorid
3860	18282-10-5	 	Zinn(IV)-oxid
3863	3333-52-6	 	Tetramethylsuccinnitril
3880	10124-37-5	 13477-34-4	Calciumnitrat
3890	7786-81-4	 10101-97-0  10101-98-1	Nickel(II)-sulfat
3900	544-92-3	 	Kupfer(I)-cyanid
3910	7775-09-9	 	Natriumchlorat
3920	10257-55-3	 10035-03-7	Calciumsulfit
3930	7723-14-0	 	Phosphor, roter
3940	12185-10-3	 	Tetraphosphor
3950	7789-60-8	 	Phosphortribromid
3960	7601-90-3	 	Perchlorsäure
3980	7783-35-9	 	Quecksilber(II)-sulfat
3990	7446-08-4	 	Selendioxid
4000	1314-23-4	 	Zirconium(IV)-oxid
4010	16871-90-2	 	Kaliumhexafluorosilikat
4020	7784-25-0	 7784-26-1	Ammoniumaluminiumsulfat
4030	7775-11-3	 10034-82-9	Natriumchromat
4040	10028-15-6	 	Ozon
4050	7637-07-2	 13319-75-0	Bortrifluorid
4060	590-28-3	 	Kaliumcyanat
4070	7722-64-7	 	Kaliumpermanganat
4110	14808-60-7	 	Quarz
4120	13746-66-2	 	Kaliumhexacyanoferrat(III)
4180	563-71-3	 	Eisen(II)-carbonat
4190	10137-74-3	 	Calciumchlorat
4200	13943-58-3	 14459-95-1	Kaliumhexacyanoferrat(II)
4210	71-48-7	 6147-53-1	Cobalt(II)-acetat
4220	17194-00-2	 22326-55-2  12230-71-6	Bariumhydroxid
4230	10024-97-2	 	Distickstoffmonoxid
4231	10024-97-2	 	Distickstoffmonoxid, tiefkalt verflüssigt
4250	13463-40-6	 	Eisenpentacarbonyl
4260	13463-39-3	 	Nickeltetracarbonyl
4280	20816-12-0	 	Osmium(VIII)-oxid
4290	10545-99-0	 	Schwefeldichlorid
4300	7803-63-6	 	Ammoniumhydrogensulfat
4310	7699-45-8	 	Zinkbromid
4320	1111-78-0	 	Ammoniumcarbamat
4330	108-19-0	 	Biuret
4340		 	Aktivkohle
4350	7782-92-5	 	Natriumamid
4360	463-56-9	 	Rhodanwasserstoffsäure
4400	10099-74-8	 	Blei(II)-nitrat
4410	3333-67-3	 51944-07-1  18195-55-6	Nickel(II)-carbonat
4420	20548-54-3	 	Calciumsulfid
4450	7720-78-7	 13463-43-9  10028-21-4  7782-63-0	Eisen(II)-sulfat
4460	7758-95-4	 	Blei(II)-chlorid
4470	3486-35-9	 	Zinkcarbonat
4480	1314-87-0	 	Blei(II)-sulfid
4490	7783-46-2	 	Blei(II)-fluorid
4500	598-63-0	 	Blei(II)-carbonat
4510	1306-19-0	 	Cadmiumoxid
4520	22205-45-4	 	Kupfer(I)-sulfid
4530	12005-88-8	 	Eisen(II,III)-arsenid
4540	1304-28-5	 	Bariumoxid
4550	1314-95-0	 	Zinn(II)-sulfid
4560	1303-33-9	 	Arsen(III)-sulfid
4570	21548-73-2	 	Silbersulfid
4580	1345-07-9	 	Bismut(III)-sulfid
4590	1345-04-6	 	Antimon(III)-sulfid
4600	1344-48-5	 	Quecksilber(II)-sulfid
4610	7791-12-0	 	Thallium(I)-chlorid
4630	13780-39-7	 	Titan(IV)-oxiddichlorid
4640	50864-67-0	 	Bariumpolysulfide
4650	7647-18-9	 	Antimon(V)-chlorid
4660	21109-95-5	 	Bariumsulfid
4680	557-21-1	 	Zinkcyanid
4700	409-21-2	 	Siliciumcarbid
4701	308076-74-6	 409-21-2	Siliciumcarbidfasern (mit Durchmesser < 3 μm, Länge > 5 μm und Seitenverhältnis ≥ 3:1)
4710	7790-93-4	 	Chlorsäure
4730	57219-64-4	 	Zirconium(IV)-carbonat basisch
4740	1344-57-6	 	Uran(IV)-oxid
4750	10022-31-8	 	Bariumnitrat
4760	7789-29-9	 	Kaliumhydrogendifluorid
4770	7784-30-7	 	Aluminiumphosphat
4780	13776-88-0	 	Aluminiummetaphosphat
4790	1317-39-1	 	Kupfer(I)-oxid
4810	10099-76-0	 	Bleisilikat
4830	7722-76-1	 	Ammoniumdihydrogenphosphat
4840	7758-23-8	 10031-30-8	Calciumdihydrogenphosphat
4850	23209-59-8	 	Natriumcalciummetaphosphat
4860	7778-77-0	 	Kaliumdihydrogenphosphat
4870	7758-16-9	 	Dinatriumdihydrogenpyrophosphat
4880	7758-87-4	 	Calciumphosphat
4900	7784-42-1	 	Arsenwasserstoff
4920	7757-87-1	 	Trimagnesiumbis(orthophosphat)
4930	7790-99-0	 	Chloriod
4970	1299-86-1	 	Aluminiumcarbid
4980	24304-00-5	 	Aluminiumnitrid
4990	16812-54-7	 11113-75-0	Nickel(II)-sulfid
5000	10043-67-1	 7784-24-9	Kaliumaluminiumsulfat
5010	1310-53-8	 	Germanium(IV)-oxid
5020	584-09-8	 	Rubidiumcarbonat
5030	638-38-0	 6156-78-1	Mangan(II)-acetat
5040	12001-29-5	 132207-32-0	Chrysotil, Asbestfaserstäube
5060	16842-03-8	 	Cobaltcarbonylwasserstoff
5070	12018-01-8	 	Chrom(IV)-oxid
5080	5470-11-1	 	Hydroxylammoniumchlorid
5090	1308-14-1	 41646-40-6	Chrom(III)-hydroxid
5110	7783-00-8	 	Selenige Säure
5140	7727-18-6	 	Vanadium(V)-oxidtrichlorid
5150	10210-68-1	 	Dicobaltoctacarbonyl
5190	1633-05-2	 	Strontiumcarbonat
5200	506-87-6	 10361-29-2	Ammoniumcarbonat
5210	6303-21-5	 	Phosphinsäure
5220	2551-62-4	 	Schwefelhexafluorid
5250	1314-11-0	 	Strontiumoxid
5260	7803-55-6	 	Ammoniumvanadat
5270	554-13-2	 	Lithiumcarbonat
5280	7778-50-9	 	Kaliumdichromat
5290	10028-22-5	 15244-10-7	Eisen(III)-sulfat
5300	14075-53-7	 	Kaliumtetrafluoroborat
5310	26628-22-8	 	Natriumazid
5320	7789-09-5	 	Ammoniumdichromat
5330	1317-34-6	 	Mangan(III)-oxid
5340	10141-05-6	 10026-22-9	Cobalt(II)-nitrat
5350	13765-19-0	 10060-08-9	Calciumchromat
5360	24613-89-6	 	Chrom(III)-chromat
5370	7789-06-2	 	Strontiumchromat
5380	7320-34-5	 	Kaliumdiphosphat
5390	7758-11-4	 16788-57-1	Dikaliumhydrogenphosphat
5400	24623-77-6	 	Aluminiumoxidhydroxid
5410	1312-81-8	 	Lanthan(III)-oxid
5420	10042-76-9	 	Strontiumnitrat
5430	1313-96-8	 	Niob(V)-oxid
5440	14038-43-8	 	Eisen(III)-hexacyanoferrat(II)
5450	7758-29-4	 	Pentanatriumtriphosphat
5470	68333-79-9	 	Ammoniumpolyphosphat
5480	7782-77-6	 	Salpetrige Säure
5500	7488-55-3	 	Zinn(II)-sulfat
5530	10102-06-4	 13520-83-7	Uranylnitrat
5540	13826-82-9	 	Uran(IV)-nitrat
5560	20859-73-8	 	Aluminiumphosphid
5570	1314-84-7	 	Zinkphosphid
5580	10196-04-0	 7783-11-1	Ammoniumsulfit
5590	13453-07-1	 16961-25-4	Gold(III)-chlorid
5620	13774-25-9	 	Magnesiumbisulfit, wässrige Lösung
5630	7778-54-3	 	Calciumhypochlorit
5650	1310-65-2	 1310-66-3	Lithiumhydroxid
5670	7782-99-2	 	Schweflige Säure
5690	16871-71-9	 	Zinkhexafluorosilikat
5710	7738-94-5	 	Chromsäure
5730	13765-94-1	 	Titanphosphat
5740	16940-66-2	 	Natriumtetrahydroborat
5750	18480-07-4	 1311-10-0	Strontiumhydroxid
5760	7759-02-6	 	Strontiumsulfat
5770	14694-95-2	 	Tris(triphenylphosphin)rhodiumchlorid
5780	7550-35-8	 23303-71-1  85017-82-9	Lithiumbromid
5800	7775-19-1	 16800-11-6  10555-76-7  35585-58-1	Natriummetaborat
5830	9080-17-5	 	Ammoniumpolysulfide
5860	68915-31-1	 	Natriumpolyphosphat
5910	1314-61-0	 	Tantal(V)-oxid
5920	1314-35-8	 	Wolfram(VI)-oxid
5930	1314-36-9	 	Yttriumoxid
5940	13308-51-5	 	Borphosphat
5950	7783-48-4	 	Strontiumfluorid
5960	7787-32-8	 	Bariumfluorid
5970	12124-97-9	 	Ammoniumbromid
5990	13462-88-9	 7789-49-3	Nickel(II)-bromid
6000	7446-07-3	 	Tellur(IV)-oxid
6010	12036-22-5	 	Wolfram(IV)-oxid
6020	598-62-9	 34156-69-9	Mangan(II)-carbonat
6030	10045-86-0	 	Eisen(III)-phosphat
6050	10026-11-6	 	Zirconium(IV)-chlorid
6060	10294-34-5	 	Bortrichlorid
6120	7775-27-1	 	Natriumperoxodisulfat
6130	12070-08-5	 	Titancarbid
6140	7721-01-9	 	Tantal(V)-chlorid
6150	10026-12-7	 	Niob(V)-chlorid
6160	7778-44-1	 	Calciumarsenat
6210	17169-61-8	 	Phosphorsäure, Calcium-Nickel-Salz
6230	20427-58-1	 	Zinkhydroxid
6250	7773-01-5	 64333-01-3  20603-88-7  13446-34-9	Mangan(II)-chlorid
6310	13138-45-9	 13478-00-7  14216-75-2	Nickel(II)-nitrat
6320	3349-06-2	 15694-70-9	Nickeldiformat
6340	1313-85-5	 	Natriumselenid
6380	14977-61-8	 	Chrom(VI)-oxiddichlorid
6400	7580-67-8	 	Lithiumhydrid
7010	1333-74-0	 	Wasserstoff
7011	1333-74-0	 	Wasserstoff, tiefkalt verflüssigt
7020	7440-59-7	 	Helium
7021	7440-59-7	 	Helium, tiefkalt verflüssigt
7070	7727-37-9	 	Stickstoff
7071	7727-37-9	 	Stickstoff, tiefkalt verflüssigt
7080	7782-44-7	 	Sauerstoff
7081	7782-44-7	 	Sauerstoff, tiefkalt verflüssigt
7090	7782-41-4	 	Fluor
7100	7440-01-9	 	Neon
7120	7439-95-4	 	Magnesium
7130	7429-90-5	 	Aluminium
7170	7782-50-5	 	Chlor
7180	7440-37-1	 	Argon
7181	7440-37-1	 	Argon, tiefkalt verflüssigt
7210	7440-20-2	 	Scandium, Pulver
7270	7440-48-4	 	Cobalt, Pulver
7340	7782-49-2	 	Selen
7360	7439-90-9	 	Krypton
7370	7440-17-7	 	Rubidium
7390	7440-65-5	 	Yttrium, Pulver
7400	7440-67-7	 	Zirconium, Pulver, nicht stabilisiert
7410	7440-03-1	 	Niob, Pulver
7440	7440-18-8	 	Ruthenium, Pulver
7450	7440-16-6	 	Rhodium, Pulver
7520	13494-80-9	 	Tellur
7540	7440-63-3	 	Xenon
7550	7440-46-2	 	Cäsium
7570	7439-91-0	 	Lanthan, Pulver
7600	7440-00-8	 	Neodym, Pulver
7630	7440-53-1	 	Europium
7640	7440-54-2	 	Gadolinium, Pulver
7660	7429-91-6	 	Dysprosium, Pulver
7670	7440-60-0	 	Holmium, Pulver
7680	7440-52-0	 	Erbium, Pulver
7720	7440-58-6	 	Hafnium, Pulver
7740	7440-33-7	 	Wolfram, Pulver
7750	7440-15-5	 	Rhenium, Pulver
7760	7440-04-2	 	Osmium, Pulver
7780	7440-06-4	 	Platin, Pulver
7810	7440-28-0	 	Thallium, Pulver
7920	7440-61-1	 	Uran, Pulver
8010	7439-93-2	 	Lithium
8020	7440-41-7	 	Beryllium, Pulver
8030	7440-42-8	 	Bor
8040	7440-44-0	 7782-40-3  7782-42-5	Kohlenstoff
8080	7440-23-5	 	Natrium
8090	7439-95-4	 	Magnesium, Pulver, nicht stabilisiert
8100	7429-90-5	 	Aluminium, Pulver, nicht stabilisiert
8110	7440-21-3	 	Silicium
8130	7704-34-9	 	Schwefel
8150	7440-09-7	 	Kalium
8160	7440-70-2	 	Calcium
8170	7440-32-6	 	Titan, Pulver
8180	7440-62-2	 	Vanadium, Pulver
8190	7440-47-3	 	Chrom, Pulver
8200	7439-96-5	 	Mangan, Pulver
8210	7439-89-6	 	Eisen, Pulver
8230	7440-02-0	 	Nickel, Pulver
8240	7440-50-8	 	Kupfer, Pulver
8250	7440-66-6	 	Zink, Pulver oder Staub, nicht stabilisiert
8260	7440-55-3	 	Gallium
8270	7440-56-4	 	Germanium, Pulver
8280	7440-38-2	 	Arsen
8310	7440-24-6	 	Strontium
8330	7439-98-7	 	Molybdän, Pulver
8340	7440-05-3	 	Palladium, Pulver
8350	7440-22-4	 	Silber, Pulver
8360	7440-43-9	 	Cadmium, Pulver (pyrophor)
8370	7440-74-6	 	Indium, Pulver
8380	7440-31-5	 	Zinn, Pulver
8390	7440-36-0	 	Antimon
8420	7440-39-3	 	Barium
8430	7440-45-1	 	Cer, Späne
8440	7440-25-7	 	Tantal, Pulver
8460	7439-88-5	 	Iridium, Pulver
8480	7440-57-5	 	Gold, Pulver
8490	7439-97-6	 	Quecksilber
8510	7439-92-1	 	Blei, Pulver
8520	7440-69-9	 	Bismut, Pulver
9020	16984-48-8	 	Fluoride
10000	74-82-8	 	Methan
10010	74-84-0	 	Ethan
10020	74-98-6	 	Propan
10030	106-97-8	 	Butan
10040	109-66-0	 	Pentan
10050		 	Hexan, Isomerengemisch mit weniger als 5 % n-Hexan
10060	71-43-2	 	Benzol
10070	108-88-3	 	Toluol
10080	1330-20-7	 	Xylol, Isomerengemisch
10090	110-02-1	 	Thiophen
10100	115-07-1	 	Propen
10110	100-42-5	 	Styrol
10130	3400-45-1	 	Cyclopentancarbonsäure
10170	98-89-5	 	Cyclohexancarbonsäure
10180	1123-25-7	 	1-Methylcyclohexan-1-carbonsäure
10190	701-97-3	 	3-Cyclohexylpropionsäure
10310	2439-01-2	 	Chinomethionat
10320	99-98-9	 	N,N-Dimethyl-p-phenylendiamin
10330	6174-86-3	 	3-Chlor-4-methyl-7-hydroxycumarin
10350	1073-72-9	 	4-(Methylthio)phenol
10360	93-75-4	 	Thiochinox
10390	108-46-3	 	Resorcin
10400	141-97-9	 	Ethylacetoacetat
10410	609-15-4	 	Ethyl-2-chloracetoacetat
10420	64-17-5	 	Ethanol
10430	108-95-2	 	Phenol
10440	90-04-0	 	2-Methoxyanilin
10450	463-71-8	 	Thiophosgen
10460	85-41-6	 	Phthalimid
10470	1074-82-4	 	N-Kaliumphthalimid
10480	88-68-6	 	Anthranilamid
10500	107-06-2	 	1,2-Dichlorethan
10510	624-92-0	 	Dimethyldisulfid
10520	50-00-0	 	Formaldehyd
10580	77-78-1	 	Dimethylsulfat
10590	75-18-3	 	Dimethylsulfid
10610	1319-77-3	 	Kresol, Isomere
10620	4812-20-8	 	o-Isopropoxyphenol
10630	109-86-4	 	Ethylenglykolmonomethylether
10650	75-29-6	 	2-Chlorpropan
10660	629-73-2	 	1-Hexadecen
10700	120-80-9	 	Brenzcatechin
10710	1300-71-6	 	Xylenol, Isomere
10720	79-01-6	 	Trichlorethylen
10730	111-42-2	 	Diethanolamin
10740	578-54-1	 	2-Ethylanilin
10750	109-73-9	 	Butylamin
10760	127-09-3	 6131-90-4	Natriumacetat
10780	108-10-1	 	4-Methyl-2-pentanon
10790	88-99-3	 	Phthalsäure
10820	12122-67-7	 	Zineb
10830	12071-83-9	 9016-72-2	Propineb
10840	85-40-5	 	1,2,3,6-Tetrahydrophthalimid
10850		 	1,2,3,6-Tetrahydrophthalimid, Natriumsalz
10860	594-42-3	 	Trichlormethylsulfenylchlorid
10870	133-06-2	 	Captan
10880	120-83-2	 	2,4-Dichlorphenol
10890	1570-64-5	 	4-Chlor-o-kresol
10900	95-95-4	 	2,4,5-Trichlorphenol
10910	79-11-8	 	Chloressigsäure
10920	598-78-7	 	2-Chlorpropionsäure
10930	2702-72-9	 	Natrium-2,4-dichlorphenoxyacetat
